CountryCode,year,F1y,F2y,F3y,F4y,F5y,F6y,F7y,F8y,F9y,F10y,L0HHD_L1GDP,L0NFD_L1GDP,L1HHD_L1GDP,L2HHD_L1GDP,L3HHD_L1GDP,L4HHD_L1GDP,L1NFD_L1GDP,L2NFD_L1GDP,L3NFD_L1GDP,L4NFD_L1GDP,L0y,L1y,L2y,L3y,L4y
276,1975,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,42.71929931640625,53.57894897460938,43.33965682983398,45.45454406738281,43.29492950439453,41.68798065185547,54.40227890014648,55.05285263061523,53.73271942138672,52.5319709777832,2781.33430480957,2782.164192199707,2781.33430480957,2776.204872131348,2772.633171081543
276,1976,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,44.95812225341797,54.97487258911133,42.71929931640625,43.33965682983398,45.45454406738281,43.29492950439453,53.57894897460938,54.40227890014648,55.05285263061523,53.73271942138672,2786.213302612305,2781.33430480957,2782.164192199707,2781.33430480957,2776.204872131348
276,1977,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,45.63271713256836,54.38271713256836,44.95812225341797,42.71929931640625,43.33965682983398,45.45454406738281,54.97487258911133,53.57894897460938,54.40227890014648,55.05285263061523,2789.338493347168,2786.213302612305,2781.33430480957,2782.164192199707,2781.33430480957
276,1978,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,47.86956405639648,54.28985595703125,45.63271713256836,44.95812225341797,42.71929931640625,43.33965682983398,54.38271713256836,54.97487258911133,53.57894897460938,54.40227890014648,2792.369079589844,2789.338493347168,2786.213302612305,2781.33430480957,2782.164192199707
276,1979,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,50.88315200805664,54.76902008056641,47.86956405639648,45.63271713256836,44.95812225341797,42.71929931640625,54.28985595703125,54.38271713256836,54.97487258911133,53.57894897460938,2796.749305725098,2792.369079589844,2789.338493347168,2786.213302612305,2781.33430480957
276,1980,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,51.67709732055664,55.53191375732422,50.88315200805664,47.86956405639648,45.63271713256836,44.95812225341797,54.76902008056641,54.28985595703125,54.38271713256836,54.97487258911133,2798.16780090332,2796.749305725098,2792.369079589844,2789.338493347168,2786.213302612305
276,1981,2798.16780090332,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,52.65497207641602,56.04678344726563,51.67709732055664,50.88315200805664,47.86956405639648,45.63271713256836,55.53191375732422,54.76902008056641,54.28985595703125,54.38271713256836,2798.16780090332,2798.16780090332,2796.749305725098,2792.369079589844,2789.338493347168
276,1982,2799.566459655762,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,53.8547477722168,56.42457962036133,52.65497207641602,51.67709732055664,50.88315200805664,47.86956405639648,56.04678344726563,55.53191375732422,54.76902008056641,54.28985595703125,2798.16780090332,2798.16780090332,2798.16780090332,2796.749305725098,2792.369079589844
276,1983,2802.306365966797,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,56.19098663330078,56.040771484375,53.8547477722168,52.65497207641602,51.67709732055664,50.88315200805664,56.42457962036133,56.04678344726563,55.53191375732422,54.76902008056641,2799.566459655762,2798.16780090332,2798.16780090332,2798.16780090332,2796.749305725098
276,1984,2804.973220825195,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,57.44353103637695,55.99589157104492,56.19098663330078,53.8547477722168,52.65497207641602,51.67709732055664,56.040771484375,56.42457962036133,56.04678344726563,55.53191375732422,2802.306365966797,2799.566459655762,2798.16780090332,2798.16780090332,2798.16780090332
276,1985,2806.927680969238,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,58.82352828979492,54.58823394775391,57.44353103637695,56.19098663330078,53.8547477722168,52.65497207641602,55.99589157104492,56.040771484375,56.42457962036133,56.04678344726563,2804.973220825195,2802.306365966797,2799.566459655762,2798.16780090332,2798.16780090332
276,1986,2808.209609985352,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,58.41121673583984,53.2149543762207,58.82352828979492,57.44353103637695,56.19098663330078,53.8547477722168,54.58823394775391,55.99589157104492,56.040771484375,56.42457962036133,2806.927680969238,2804.973220825195,2802.306365966797,2799.566459655762,2798.16780090332
276,1987,2811.960029602051,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,57.70535659790039,52.5,58.41121673583984,58.82352828979492,57.44353103637695,56.19098663330078,53.2149543762207,54.58823394775391,55.99589157104492,56.040771484375,2808.209609985352,2806.927680969238,2804.973220825195,2802.306365966797,2799.566459655762
276,1988,2815.57502746582,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,58.32173919677734,54.08695602416992,57.70535659790039,58.41121673583984,58.82352828979492,57.44353103637695,52.5,53.2149543762207,54.58823394775391,55.99589157104492,2811.960029602051,2808.209609985352,2806.927680969238,2804.973220825195,2802.306365966797
276,1989,2820.763397216797,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,58.24590301513672,54.74590301513672,58.32173919677734,57.70535659790039,58.41121673583984,58.82352828979492,54.08695602416992,52.5,53.2149543762207,54.58823394775391,2815.57502746582,2811.960029602051,2808.209609985352,2806.927680969238,2804.973220825195
276,1990,2825.695991516113,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,58.72307586669922,55.5076904296875,58.24590301513672,58.32173919677734,57.70535659790039,58.41121673583984,54.74590301513672,54.08695602416992,52.5,53.2149543762207,2820.763397216797,2815.57502746582,2811.960029602051,2808.209609985352,2806.927680969238
276,1991,2827.812385559082,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,57.39436721801758,57.88732528686523,58.72307586669922,58.24590301513672,58.32173919677734,57.70535659790039,55.5076904296875,54.74590301513672,54.08695602416992,52.5,2825.695991516113,2820.763397216797,2815.57502746582,2811.960029602051,2808.209609985352
276,1992,2826.759719848633,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,57.64706039428711,57.3856201171875,57.39436721801758,58.72307586669922,58.24590301513672,58.32173919677734,57.88732528686523,55.5076904296875,54.74590301513672,54.08695602416992,2827.812385559082,2825.695991516113,2820.763397216797,2815.57502746582,2811.960029602051
276,1993,2829.370880126953,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,58.78787994384766,58.78787994384766,57.64706039428711,57.39436721801758,58.72307586669922,58.24590301513672,57.3856201171875,57.88732528686523,55.5076904296875,54.74590301513672,2826.759719848633,2827.812385559082,2825.695991516113,2820.763397216797,2815.57502746582
276,1994,2830.905532836914,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,62.58823394775391,57.52941131591797,58.78787994384766,57.64706039428711,57.39436721801758,58.72307586669922,58.78787994384766,57.3856201171875,57.88732528686523,55.5076904296875,2829.370880126953,2826.759719848633,2827.812385559082,2825.695991516113,2820.763397216797
276,1995,2831.411743164063,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,63.93258285522461,53.76404571533203,62.58823394775391,58.78787994384766,57.64706039428711,57.39436721801758,57.52941131591797,58.78787994384766,57.3856201171875,57.88732528686523,2830.905532836914,2829.370880126953,2826.759719848633,2827.812385559082,2825.695991516113
276,1996,2833.41178894043,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,65.72972869873047,54.05405426025391,63.93258285522461,62.58823394775391,58.78787994384766,57.64706039428711,53.76404571533203,57.52941131591797,58.78787994384766,57.3856201171875,2831.411743164063,2830.905532836914,2829.370880126953,2826.759719848633,2827.812385559082
276,1997,2835.372734069824,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,68.03191375732422,55.37234115600586,65.72972869873047,63.93258285522461,62.58823394775391,58.78787994384766,54.05405426025391,53.76404571533203,57.52941131591797,58.78787994384766,2833.41178894043,2831.411743164063,2830.905532836914,2829.370880126953,2826.759719848633
276,1998,2837.295913696289,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,70.89005279541016,58.01047134399414,68.03191375732422,65.72972869873047,63.93258285522461,62.58823394775391,55.37234115600586,54.05405426025391,53.76404571533203,57.52941131591797,2835.372734069824,2833.41178894043,2831.411743164063,2830.905532836914,2829.370880126953
276,1999,2840.11287689209,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,74.13265228271484,57.90816497802734,70.89005279541016,68.03191375732422,65.72972869873047,63.93258285522461,58.01047134399414,55.37234115600586,54.05405426025391,53.76404571533203,2837.295913696289,2835.372734069824,2833.41178894043,2831.411743164063,2830.905532836914
276,2000,2841.49227142334,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,75.05000305175781,61.40000152587891,74.13265228271484,70.89005279541016,68.03191375732422,65.72972869873047,57.90816497802734,58.01047134399414,55.37234115600586,54.05405426025391,2840.11287689209,2837.295913696289,2835.372734069824,2833.41178894043,2831.411743164063
276,2001,2841.49227142334,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,74.24390411376953,64.09756469726563,75.05000305175781,74.13265228271484,70.89005279541016,68.03191375732422,61.40000152587891,57.90816497802734,58.01047134399414,55.37234115600586,2841.49227142334,2840.11287689209,2837.295913696289,2835.372734069824,2833.41178894043
276,2002,2841.034507751465,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,73.23809814453125,65.09523773193359,74.24390411376953,75.05000305175781,74.13265228271484,70.89005279541016,64.09756469726563,61.40000152587891,57.90816497802734,58.01047134399414,2841.49227142334,2841.49227142334,2840.11287689209,2837.295913696289,2835.372734069824
276,2003,2842.401313781738,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,72.95774841308594,64.88262939453125,73.23809814453125,74.24390411376953,75.05000305175781,74.13265228271484,65.09523773193359,64.09756469726563,61.40000152587891,57.90816497802734,2841.034507751465,2841.49227142334,2841.49227142334,2840.11287689209,2837.295913696289
276,2004,2842.852783203125,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,,72.46511840820313,62.37209320068359,72.95774841308594,73.23809814453125,74.24390411376953,75.05000305175781,64.88262939453125,65.09523773193359,64.09756469726563,61.40000152587891,2842.401313781738,2841.034507751465,2841.49227142334,2841.49227142334,2840.11287689209
276,2005,2846.826934814453,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,,,70.68181610107422,60.18181991577148,72.46511840820313,72.95774841308594,73.23809814453125,74.24390411376953,62.37209320068359,64.88262939453125,65.09523773193359,64.09756469726563,2842.852783203125,2842.401313781738,2841.034507751465,2841.49227142334,2841.49227142334
276,2006,2849.812126159668,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,,,,70.1351318359375,62.25225067138672,70.68181610107422,72.46511840820313,72.95774841308594,73.23809814453125,60.18181991577148,62.37209320068359,64.88262939453125,65.09523773193359,2846.826934814453,2842.852783203125,2842.401313781738,2841.034507751465,2841.49227142334
276,2007,2851.064872741699,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,,,,,66.53679656982422,63.03030395507813,70.1351318359375,70.68181610107422,72.46511840820313,72.95774841308594,62.25225067138672,60.18181991577148,62.37209320068359,64.88262939453125,2849.812126159668,2846.826934814453,2842.852783203125,2842.401313781738,2841.034507751465
276,2008,2845.519638061523,2849.812126159668,2852.710914611816,2853.524017333984,,,,,,,62.59259414672852,62.01646041870117,66.53679656982422,70.1351318359375,70.68181610107422,72.46511840820313,63.03030395507813,62.25225067138672,60.18181991577148,62.37209320068359,2851.064872741699,2849.812126159668,2846.826934814453,2842.852783203125,2842.401313781738
